team_id,season,affiliate_league,affiliate,league,team_name,classification,category,location_id,city,state,country,lat,long
2016_International_Columbus,2017,American,CLE,International,Columbus,AAA,MiLB,Columbus_OH_US,Columbus,OH,US,39.96226,-83.000706
2016_PacificCoast_Sacramento,17,NL,San Francisco Giants,Pacific Coast,Sacramento,Triple A,Minor League,Sacramento_CA_US,Sacramento,California,United States,38.581572,-121.4944
2016_Pioneer_GrandJunction,17,NL,Colorado Rockies,Pioneer,Grand Junction,Rookie,Minor League,GrandJunction_CO_US,Grand Junction,Colorado,United States,39.063956,-108.550732
2016_Arizona_Cubs,2017,National,CHC,Arizona,Cubs,Rk,MiLB,AZ_US, ,AZ,US,34.395342,-111.763275
2016_DominicanSummer_Cubs1,2017,National,CHC,Dominican Summer,Cubs 1,FRk,MiLB,DO, , ,DO,19.097403,-70.302803
2016_DominicanSummer_Cubs2,2017,National,CHC,Dominican Summer,Cubs 2,FRk,MiLB,DO, , ,DO,19.097403,-70.302803
2016_Appalachian_Danville,2017,National,ATL,Appalachian,Danville,Rk,MiLB,Danville_GA_US,Danville,GA,US,32.60571,-83.245436
2016_NewYork-Pennsylvania_Connecticut,17,AL,Detroit  Tigers,New York-Pennsylvania,Connecticut,Low A,Minor League,Norwich_CT_US,Norwich,Connecticut,United States,41.524265,-72.07591
2016_FloridaState_Daytona,17,NL,Cincinnati Reds,Florida State,Daytona,High A,Minor League,DaytonaBeach_FL_US,Daytona Beach,Florida,United States,29.210815,-81.022833
2016_SouthAtlantic_Delmarva,2017,American,BAL,South Atlantic,Delmarva,A,MiLB,Salisbury_MD_US,Salisbury,MD,US,38.366211,-75.600888
2016_Arizona_Diamondbacks,2017,National,ARI,Arizona,Diamondbacks,Rk,MiLB,AZ_US, ,AZ,US,34.395342,-111.763275
2016_DominicanSummer_Diamondbacks1,2017,National,ARI,Dominican Summer,Diamondbacks 1,FRk,MiLB,DO, , ,DO,19.097403,-70.302803
2016_DominicanSummer_Diamondbacks2,2017,National,ARI,Dominican Summer,Diamondbacks 2,FRk,MiLB,DO, , ,DO,19.097403,-70.302803
2016_Arizona_Dodgers,2017,National,LAD,Arizona,Dodgers,Rk,MiLB,AZ_US, ,AZ,US,34.395342,-111.763275
2016_DominicanSummer_Dodgers1,2017,National,LAD,Dominican Summer,Dodgers 1,FRk,MiLB,DO, , ,DO,19.097403,-70.302803
2016_DominicanSummer_Dodgers2,2017,National,LAD,Dominican Summer,Dodgers 2,FRk,MiLB,DO, , ,DO,19.097403,-70.302803
2016_GulfCoast_TigersEast,17,AL,Detroit  Tigers,Gulf Coast,Tigers East,Rookie,Minor League,FL_US, ,Florida,United States,27.756767,-81.463983
2016_FloridaState_Dunedin,2017,American,TOR,Florida State,Dunedin,A+,MiLB,Dunedin_FL_US,Dunedin,FL,US,28.046071,-82.79673
2016_International_Durham,2017,American,TB,International,Durham,AAA,MiLB,Durham_NC_US,Durham,NC,US,35.994033,-78.898619
2016_PacificCoast_ElPaso,2017,National,SD,Pacific Coast,El Paso,AAA,MiLB,ElPaso_TX_US,El Paso,TX,US,31.760037,-106.487287
2016_GulfCoast_TigersWest,17,AL,Detroit  Tigers,Gulf Coast,Tigers West,Rookie,Minor League,FL_US, ,Florida,United States,27.756767,-81.463983
2016_Eastern_Erie,2017,American,DET,Eastern,Erie,AA,MiLB,Erie_PA_US,Erie,PA,US,42.129066,-80.085242
2016_Northwest_Eugene,2017,National,CHC,Northwest,Eugene,A-,MiLB,Eugene_OR_US,Eugene,OR,US,44.101181,-123.152384
2016_GulfCoast_Astros,17,AL,Houston Astros,Gulf Coast,Astros,Rookie,Minor League,FL_US, ,Florida,United States,27.756767,-81.463983
2016_FloridaState_Florida,2017,National,ATL,Florida State,Florida,A+,MiLB,FL_US, ,FL,US,27.756767,-81.463983
2016_FloridaState_Jupiter,17,NL,Miami Marlins,Florida State,Jupiter,High A,Minor League,Jupiter_FL_US,Jupiter,Florida,United States,26.926705,-80.122091
2016_FloridaState_FortMyers,17,AL,Minnesota Twins,Florida State,Fort Myers,High A,Minor League,FortMyers_FL_US,Fort Myers,Florida,United States,26.640628,-81.872308
2016_Carolina_Frederick,2017,American,BAL,Carolina,Frederick,A+,MiLB,Frederick_MD_US,Frederick,MD,US,39.414443,-77.410578
2016_PacificCoast_Fresno,2017,American,HOU,Pacific Coast,Fresno,AAA,MiLB,Fresno_CA_US,Fresno,CA,US,36.72953,-119.708861
2016_Texas_Frisco,2017,American,TEX,Texas,Frisco,AA,MiLB,Frisco_TX_US,Frisco,TX,US,33.150674,-96.823612
2016_GulfCoast_Twins,17,AL,Minnesota Twins,Gulf Coast,Twins,Rookie,Minor League,FL_US, ,Florida,United States,27.756767,-81.463983
2016_GulfCoast_Mets,17,NL,New York Mets,Gulf Coast,Mets,Rookie,Minor League,FL_US, ,Florida,United States,27.756767,-81.463983
2016_FloridaState_St.Lucie,17,NL,New York Mets,Florida State,St. Lucie,High A,Minor League,StLucie_FL_US,St. Lucie,Florida,United States,27.293933,-80.350328
2016_FloridaState_Tampa,17,AL,New York Yankees,Florida State,Tampa,High A,Minor League,Tampa_FL_US,Tampa,Florida,United States,27.94776,-82.458444
2016_GulfCoast_YankeesEast,17,AL,New York Yankees,Gulf Coast,Yankees East,Rookie,Minor League,FL_US, ,Florida,United States,27.756767,-81.463983
2016_Appalachian_Greeneville,2017,American,HOU,Appalachian,Greeneville,Rk,MiLB,Greeneville_TN_US,Greeneville,TN,US,36.163158,-82.830986
2016_SouthAtlantic_Greensboro,2017,National,MIA,South Atlantic,Greensboro,A,MiLB,Greensboro_NC_US,Greensboro,NC,US,36.072636,-79.791975
2016_SouthAtlantic_Greenville,2017,American,BOS,South Atlantic,Greenville,A,MiLB,Greenville_SC_US,Greenville,SC,US,34.851354,-82.398488
2016_GulfCoast_YankeesWest,17,AL,New York Yankees,Gulf Coast,Yankees West,Rookie,Minor League,FL_US, ,Florida,United States,27.756767,-81.463983
2016_FloridaState_Clearwater,17,NL,Philadelphia Phillies,Florida State,Clearwater,High A,Minor League,Clearwater_FL_US,Clearwater,Florida,United States,27.965853,-82.800103
2016_Eastern_Harrisburg,2017,National,WSH,Eastern,Harrisburg,AA,MiLB,Harrisburg_PA_US,Harrisburg,PA,US,40.266311,-76.886112
2016_FloridaState_Bradenton,17,NL,Pittsburgh Pirates,Florida State,Bradenton,High A,Minor League,Bradenton_FL_US,Bradenton,Florida,United States,27.498928,-82.574819
2016_Pioneer_Helena,2017,National,MIL,Pioneer,Helena,Rk,MiLB,Helena_MT_US,Helena,MT,US,46.592712,-112.036109
2016_SouthAtlantic_Hickory,2017,American,TEX,South Atlantic,Hickory,A,MiLB,Hickory_NC_US,Hickory,NC,US,35.73319,-81.341201
2016_Northwest_Hillsboro,2017,National,ARI,Northwest,Hillsboro,A-,MiLB,Hillsboro_OR_US,Hillsboro,OR,US,45.522894,-122.989827
2016_NewYork-Pennsylvania_HudsonValley,2017,American,TB,New York-Pennsylvania,Hudson Valley,A-,MiLB,WappingersFalls_NY_US,Wappingers Falls,NY,US,41.596564,-73.91121
2016_Pioneer_IdahoFalls,2017,American,KC,Pioneer,Idaho Falls,Rk,MiLB,IdahoFalls_ID_US,Idaho Falls,ID,US,43.493079,-112.044349
2016_International_Indianapolis,2017,National,PIT,International,Indianapolis,AAA,MiLB,Indianapolis_IN_US,Indianapolis,IN,US,39.768333,-86.15835
2016_Arizona_Indians,2017,American,CLE,Arizona,Indians,Rk,MiLB,AZ_US, ,AZ,US,34.395342,-111.763275
2016_DominicanSummer_Indians,2017,American,CLE,Dominican Summer,Indians,FRk,MiLB,DO, , ,DO,19.097403,-70.302803
2016_DominicanSummer_Indians/Brewers,2017,American,CLE,Dominican Summer,Indians/Brewers,FRk,MiLB,DO, , ,DO,19.097403,-70.302803
2016_California_InlandEmpire,2017,American,LAA,California,Inland Empire,A+,MiLB,SanBernardino_CA_US,San Bernardino,CA,US,34.108345,-117.289765
2016_PacificCoast_Iowa,2017,National,CHC,Pacific Coast,Iowa,AAA,MiLB,DesMoines_IA_US,Des Moines,IA,US,41.591064,-93.603715
2016_Southern_Jackson,2017,National,ARI,Southern,Jackson,AA,MiLB,Jackson_MS_US,Jackson,MS,US,32.299038,-90.184769
2016_Southern_Jacksonville,2017,National,MIA,Southern,Jacksonville,AA,MiLB,Jacksonville_FL_US,Jacksonville,FL,US,30.332184,-81.655651
2016_GulfCoast_Pirates,17,NL,Pittsburgh Pirates,Gulf Coast,Pirates,Rookie,Minor League,FL_US, ,Florida,United States,27.756767,-81.463983
2016_FloridaState_Charlotte,17,AL,Tampa Bay Rays,Florida State,Charlotte,High A,Minor League,PortCharlotte_FL_US,Port Charlotte,Florida,United States,26.976171,-82.090645
2016_GulfCoast_Nationals,17,NL,Washington,Gulf Coast,Nationals,Rookie,Minor League,FL_US, ,Florida,United States,27.756767,-81.463983
2016_SouthAtlantic_Kannapolis,2017,American,CWS,South Atlantic,Kannapolis,A,MiLB,Kannapolis_NC_US,Kannapolis,NC,US,35.487361,-80.621734
2016_International_Gwinnett,17,NL,Atlanta Braves,International,Gwinnett,Triple A,Minor League,Gwinnett_GA_US,Gwinnett,Georgia,United States,32.329381,-83.113737
