id_person,dob,city,state,country,region,group,lat,long
290247,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
290329,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
290367,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
290849,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
292351,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
292605,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
293441,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
292125,97,,,DO,Caribbean,Latin America and the Caribbean,19.097403,-70.302803
268547,97,,Lara,VE,South America,Latin America and the Caribbean,10.228452,-69.819797
268029,97,,Ponce,PR,Caribbean,Latin America and the Caribbean,18.106332,-67.89443
291908,97,,Ponce,PR,Caribbean,Latin America and the Caribbean,18.106332,-67.89443
266887,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
266889,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
267357,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
267446,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
267489,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
267490,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
267558,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
268526,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
269540,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
270815,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
289458,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
289575,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
289661,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
290141,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
290171,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
290191,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
290867,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
290891,98,,,DO,Caribbean,Latin America and the Caribbean,19.097403,-70.302803
267448,98,,Lara,VE,South America,Latin America and the Caribbean,10.228452,-69.819797
269545,98,,,MF,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
291888,98,,Ponce,PR,Caribbean,Latin America and the Caribbean,18.106332,-67.89443
292054,98,,Ponce,PR,Caribbean,Latin America and the Caribbean,18.106332,-67.89443
291978,98,,,US,Northern America,Northern America,39.78373,-100.445882
292318,98,,,US,Northern America,Northern America,39.78373,-100.445882
289444,99,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
289457,99,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
289496,99,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
289514,99,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
289600,99,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
289601,99,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
289606,99,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
289642,99,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
289654,99,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
290352,99,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
290354,99,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
290875,99,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
293106,99,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
293210,99,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
239582,1995,Abbotsford,BC,CA,Northern America,Northern America,49.05,-122.3
270320,1995,Abington,PA,US,Northern America,Northern America,40.120666,-75.117951
242686,1995,Abreus,,CU,Caribbean,Latin America and the Caribbean,22.277877,-80.570235
266893,1997,Abudare,,VE,South America,Latin America and the Caribbean,8.001871,-66.110932
269595,1995,Acaponeta,Nayarit,MX,Central America,Latin America and the Caribbean,22.493385,-105.361885
224842,1995,Acarigua,Portuguesa,VE,South America,Latin America and the Caribbean,9.558,-69.205043
267398,1995,Acarigua,,PT,Southern Europe,Europe,40.033265,-7.889626
224939,1995,Adamanita,Sao Paulo,BR,South America,Latin America and the Caribbean,-21.954981,-49.023235
231866,1996,Adelaide,South Australia,AU,Australia and New Zealand,Oceania,-34.927428,138.599899
255371,1995,Advance,NC,US,Northern America,Northern America,35.941248,-80.409222
257156,1995,Agana Heights,,GU,Micronesia,Oceania,13.46554,144.746583
257594,1995,Aguada,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
281171,1996,Aguadilla,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
224742,1995,Aguadulce,Cocle,PA,Central America,Latin America and the Caribbean,8.240336,-80.539634
238489,1996,Aguadulce,Cocle,PA,Central America,Latin America and the Caribbean,8.240336,-80.539634
259717,1996,Aguadulce,Cocle,PA,Central America,Latin America and the Caribbean,8.240336,-80.539634
290324,1997,Aguadulce,Cocle,PA,Central America,Latin America and the Caribbean,8.240336,-80.539634
291849,1998,Aguadulce,Cocle,PA,Central America,Latin America and the Caribbean,8.240336,-80.539634
253407,1995,Ahome,Sinaloa,MX,Central America,Latin America and the Caribbean,25.918532,-109.169569
268275,1997,Aibonito,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
292101,1998,Aibonito,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
