id_person,season,classifica,category,league_name,team_name,team_id
7538,2016,MLB,MLB,American,NYY,2016_American_NYY
7593,2016,MLB,MLB,National,LAD,2016_National_LAD
7593,2016,MLB,MLB,National,LAD,2016_National_LAD
7788,2016,MLB,MLB,American,BAL,2016_American_BAL
8130,2016,MLB,MLB,American,CLE,2016_American_CLE
8130,2016,MLB,MLB,American,CLE,2016_American_CLE
8159,2016,MLB,MLB,American,OAK,2016_American_OAK
8159,2016,MLB,MLB,American,OAK,2016_American_OAK
8960,2016,MLB,MLB,National,LAD,2016_National_LAD
8960,2016,MLB,MLB,National,LAD,2016_National_LAD
9057,2016,MLB,MLB,National,SD,2016_National_SD
9057,2016,MLB,MLB,National,SD,2016_National_SD
9180,2016,MLB,MLB,National,CIN,2016_National_CIN
9180,2016,MLB,MLB,National,CIN,2016_National_CIN
9389,2016,MLB,MLB,American,TB,2016_American_TB
9389,2016,MLB,MLB,American,TB,2016_American_TB
9480,2016,MLB,MLB,American,CWS,2016_American_CWS
9480,2016,MLB,MLB,American,CWS,2016_American_CWS
9499,2016,MLB,MLB,National,CHC,2016_National_CHC
9499,2016,MLB,MLB,National,CHC,2016_National_CHC
9504,2016,MLB,MLB,National,CHC,2016_National_CHC
9504,2016,MLB,MLB,National,CHC,2016_National_CHC
9792,2016,MLB,MLB,National,MIL,2016_National_MIL
9792,2016,MLB,MLB,National,MIL,2016_National_MIL
9846,2016,MLB,MLB,National,PIT,2016_National_PIT
9846,2016,MLB,MLB,National,PIT,2016_National_PIT
10143,2016,MLB,MLB,National,ATL,2016_National_ATL
10273,2016,MLB,MLB,National,ARI,2016_National_ARI
10596,2016,MLB,MLB,American,DET,2016_American_DET
10596,2016,MLB,MLB,American,DET,2016_American_DET
10680,2016,MLB,MLB,American,MIN,2016_American_MIN
10680,2016,MLB,MLB,American,MIN,2016_American_MIN
10878,2016,MLB,MLB,National,COL,2016_National_COL
10878,2016,MLB,MLB,National,COL,2016_National_COL
11009,2016,MLB,MLB,American,LAA,2016_American_LAA
11009,2016,MLB,MLB,American,LAA,2016_American_LAA
11010,2016,MLB,MLB,National,ATL,2016_National_ATL
11373,2016,MLB,MLB,American,HOU,2016_American_HOU
11373,2016,MLB,MLB,American,HOU,2016_American_HOU
11488,2016,MLB,MLB,American,BOS,2016_American_BOS
12102,2016,MLB,MLB,National,SD,2016_National_SD
12102,2016,MLB,MLB,National,SD,2016_National_SD
12141,2016,MLB,MLB,American,MIN,2016_American_MIN
12141,2016,MLB,MLB,American,MIN,2016_American_MIN
12362,2016,MLB,MLB,National,CHC,2016_National_CHC
12362,2016,MLB,MLB,National,CHC,2016_National_CHC
12407,2016,MLB,MLB,American,BOS,2016_American_BOS
12605,2016,MLB,MLB,National,SD,2016_National_SD
12605,2016,MLB,MLB,National,SD,2016_National_SD
12794,2016,MLB,MLB,National,SD,2016_National_SD
12794,2016,MLB,MLB,National,SD,2016_National_SD
12832,2016,MLB,MLB,National,COL,2016_National_COL
12832,2016,MLB,MLB,National,COL,2016_National_COL
13172,2016,MLB,MLB,National,ARI,2016_National_ARI
13392,2016,MLB,MLB,National,COL,2016_National_COL
13392,2016,MLB,MLB,National,COL,2016_National_COL
13395,2016,MLB,MLB,National,MIL,2016_National_MIL
13395,2016,MLB,MLB,National,MIL,2016_National_MIL
13466,2016,MLB,MLB,National,SF,2016_National_SF
13466,2016,MLB,MLB,National,SF,2016_National_SF
13554,2016,MLB,MLB,American,TB,2016_American_TB
13554,2016,MLB,MLB,American,TB,2016_American_TB
13584,2016,MLB,MLB,American,NYY,2016_American_NYY
13584,2016,MLB,MLB,National,PIT,2016_National_PIT
13584,2016,MLB,MLB,American,NYY,2016_American_NYY
13584,2016,MLB,MLB,National,PIT,2016_National_PIT
13588,2016,MLB,MLB,National,SF,2016_National_SF
13588,2016,MLB,MLB,National,SF,2016_National_SF
13615,2016,MLB,MLB,National,SD,2016_National_SD
13615,2016,MLB,MLB,National,SD,2016_National_SD
13631,2016,MLB,MLB,National,MIA,2016_National_MIA
13631,2016,MLB,MLB,National,MIA,2016_National_MIA
13682,2016,MLB,MLB,National,PIT,2016_National_PIT
13682,2016,MLB,MLB,National,PIT,2016_National_PIT
13690,2016,MLB,MLB,National,WSH,2016_National_WSH
13690,2016,MLB,MLB,National,WSH,2016_National_WSH
13868,2016,MLB,MLB,National,LAD,2016_National_LAD
13868,2016,MLB,MLB,National,LAD,2016_National_LAD
13966,2016,MLB,MLB,National,PIT,2016_National_PIT
13966,2016,MLB,MLB,National,PIT,2016_National_PIT
14182,2016,MLB,MLB,American,NYY,2016_American_NYY
14182,2016,MLB,MLB,American,NYY,2016_American_NYY
14230,2016,MLB,MLB,National,CHC,2016_National_CHC
14230,2016,MLB,MLB,National,CHC,2016_National_CHC
14300,2016,MLB,MLB,American,TEX,2016_American_TEX
14300,2016,MLB,MLB,American,TEX,2016_American_TEX
14325,2016,MLB,MLB,National,ARI,2016_National_ARI
14333,2016,MLB,MLB,American,DET,2016_American_DET
14333,2016,MLB,MLB,American,DET,2016_American_DET
14463,2016,MLB,MLB,National,STL,2016_National_STL
14463,2016,MLB,MLB,National,STL,2016_National_STL
14534,2016,MLB,MLB,American,LAA,2016_American_LAA
14534,2016,MLB,MLB,American,LAA,2016_American_LAA
14662,2016,MLB,MLB,American,CWS,2016_American_CWS
14662,2016,MLB,MLB,American,CWS,2016_American_CWS
14695,2016,MLB,MLB,American,LAA,2016_American_LAA
14695,2016,MLB,MLB,American,MIN,2016_American_MIN
14695,2016,MLB,MLB,American,LAA,2016_American_LAA
14695,2016,MLB,MLB,American,MIN,2016_American_MIN
14780,2016,MLB,MLB,National,SD,2016_National_SD
14780,2016,MLB,MLB,National,SD,2016_National_SD
15149,2016,MLB,MLB,National,MIL,2016_National_MIL
15149,2016,MLB,MLB,National,MIL,2016_National_MIL
15208,2016,MLB,MLB,National,WSH,2016_National_WSH
15208,2016,MLB,MLB,National,WSH,2016_National_WSH
15477,2016,MLB,MLB,American,TOR,2016_American_TOR
15477,2016,MLB,MLB,American,TOR,2016_American_TOR
15659,2016,MLB,MLB,American,DET,2016_American_DET
15659,2016,MLB,MLB,American,DET,2016_American_DET
15661,2016,MLB,MLB,National,NYM,2016_National_NYM
15661,2016,MLB,MLB,National,NYM,2016_National_NYM
15667,2016,MLB,MLB,American,TEX,2016_American_TEX
15667,2016,MLB,MLB,American,TEX,2016_American_TEX
15896,2016,MLB,MLB,National,NYM,2016_National_NYM
15896,2016,MLB,MLB,National,NYM,2016_National_NYM
16092,2016,MLB,MLB,American,TOR,2016_American_TOR
16092,2016,MLB,MLB,American,TOR,2016_American_TOR
16304,2016,MLB,MLB,National,ARI,2016_National_ARI
16304,2016,MLB,MLB,American,BOS,2016_American_BOS
16319,2016,MLB,MLB,National,ATL,2016_National_ATL
16327,2016,MLB,MLB,National,WSH,2016_National_WSH
16327,2016,MLB,MLB,National,WSH,2016_National_WSH
17056,2016,MLB,MLB,National,ATL,2016_National_ATL
17105,2016,MLB,MLB,National,MIA,2016_National_MIA
17105,2016,MLB,MLB,National,MIA,2016_National_MIA
17321,2016,MLB,MLB,National,COL,2016_National_COL
17321,2016,MLB,MLB,National,COL,2016_National_COL
17529,2016,MLB,MLB,American,BOS,2016_American_BOS
17529,2016,MLB,MLB,American,TEX,2016_American_TEX
